Country Code,Country Name,Income Group,Region,Base Score,Luxury Access Score,Multiplier,Multiplier Source,Coverage (%),Data Filled (%),Indicator Count,Scoring Type
AFG,Afghanistan,Low income,"Middle East, North Africa, Afghanistan & Pakistan",59.044,46.055,0.78,income_group_multiplier,100.0,41.5,300,adjusted
ALB,Albania,Upper middle income,Europe & Central Asia,68.289,76.484,1.12,income_group_multiplier,100.0,54.7,300,adjusted
DZA,Algeria,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",66.089,74.02,1.12,income_group_multiplier,100.0,51.6,300,adjusted
ASM,American Samoa,High income,East Asia & Pacific,38.122,49.559,1.3,income_group_multiplier,100.0,11.6,300,adjusted
AND,Andorra,High income,Europe & Central Asia,44.467,57.807,1.3,income_group_multiplier,100.0,20.7,300,adjusted
AGO,Angola,Lower middle income,Sub-Saharan Africa,65.033,59.831,0.92,income_group_multiplier,100.0,50.0,300,adjusted
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,56.456,73.392,1.3,income_group_multiplier,100.0,37.8,300,adjusted
ARG,Argentina,Upper middle income,Latin America & Caribbean,68.467,76.683,1.12,income_group_multiplier,100.0,55.0,300,adjusted
ARM,Armenia,Upper middle income,Europe & Central Asia,68.456,76.67,1.12,income_group_multiplier,100.0,54.9,300,adjusted
ABW,Aruba,High income,Latin America & Caribbean,49.333,64.133,1.3,income_group_multiplier,100.0,27.6,300,adjusted
AUS,Australia,High income,East Asia & Pacific,68.933,89.613,1.3,income_group_multiplier,100.0,55.6,300,adjusted
AUT,Austria,High income,Europe & Central Asia,66.778,86.811,1.3,income_group_multiplier,100.0,52.5,300,adjusted
AZE,Azerbaijan,Upper middle income,Europe & Central Asia,68.311,76.508,1.12,income_group_multiplier,100.0,54.7,300,adjusted
BHS,"Bahamas, The",High income,Latin America & Caribbean,62.156,80.802,1.3,income_group_multiplier,100.0,45.9,300,adjusted
BHR,Bahrain,High income,"Middle East, North Africa, Afghanistan & Pakistan",63.133,82.073,1.3,income_group_multiplier,100.0,47.3,300,adjusted
BGD,Bangladesh,Lower middle income,South Asia,68.444,62.969,0.92,income_group_multiplier,100.0,54.9,300,adjusted
BRB,Barbados,High income,Latin America & Caribbean,62.467,81.207,1.3,income_group_multiplier,100.0,46.4,300,adjusted
BLR,Belarus,Upper middle income,Europe & Central Asia,68.567,76.795,1.12,income_group_multiplier,100.0,55.1,300,adjusted
BEL,Belgium,High income,Europe & Central Asia,66.911,86.984,1.3,income_group_multiplier,100.0,52.7,300,adjusted
BLZ,Belize,Upper middle income,Latin America & Caribbean,65.889,73.796,1.12,income_group_multiplier,100.0,51.3,300,adjusted
BEN,Benin,Lower middle income,Sub-Saharan Africa,65.233,60.015,0.92,income_group_multiplier,100.0,50.3,300,adjusted
BMU,Bermuda,High income,North America,45.067,58.587,1.3,income_group_multiplier,100.0,21.5,300,adjusted
BTN,Bhutan,Lower middle income,South Asia,62.4,57.408,0.92,income_group_multiplier,100.0,46.3,300,adjusted
BOL,"Bolivia, Plurinational State of",Lower middle income,Latin America & Caribbean,70.322,64.696,0.92,income_group_multiplier,100.0,57.6,300,adjusted
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,64.344,72.066,1.12,income_group_multiplier,100.0,49.1,300,adjusted
BWA,Botswana,Upper middle income,Sub-Saharan Africa,67.033,75.077,1.12,income_group_multiplier,100.0,52.9,300,adjusted
BRA,Brazil,Upper middle income,Latin America & Caribbean,71.8,80.416,1.12,income_group_multiplier,100.0,59.7,300,adjusted
VGB,British Virgin Islands,High income,Latin America & Caribbean,37.589,48.866,1.3,income_group_multiplier,100.0,10.8,300,adjusted
BRN,Brunei Darussalam,High income,East Asia & Pacific,63.367,82.377,1.3,income_group_multiplier,100.0,47.7,300,adjusted
BGR,Bulgaria,High income,Europe & Central Asia,68.622,89.209,1.3,income_group_multiplier,100.0,55.2,300,adjusted
BFA,Burkina Faso,Low income,Sub-Saharan Africa,67.344,52.529,0.78,income_group_multiplier,100.0,53.3,300,adjusted
BDI,Burundi,Low income,Sub-Saharan Africa,64.7,50.466,0.78,income_group_multiplier,100.0,49.6,300,adjusted
CPV,Cabo Verde,Upper middle income,Sub-Saharan Africa,64.156,71.854,1.12,income_group_multiplier,100.0,48.8,300,adjusted
KHM,Cambodia,Lower middle income,East Asia & Pacific,67.778,62.356,0.92,income_group_multiplier,100.0,54.0,300,adjusted
CMR,Cameroon,Lower middle income,Sub-Saharan Africa,66.311,61.006,0.92,income_group_multiplier,100.0,51.9,300,adjusted
CAN,Canada,High income,North America,66.589,86.566,1.3,income_group_multiplier,100.0,52.3,300,adjusted
CYM,Cayman Islands,High income,Latin America & Caribbean,44.711,58.124,1.3,income_group_multiplier,100.0,21.0,300,adjusted
CAF,Central African Republic,Low income,Sub-Saharan Africa,59.9,46.722,0.78,income_group_multiplier,100.0,42.7,300,adjusted
TCD,Chad,Low income,Sub-Saharan Africa,60.833,47.45,0.78,income_group_multiplier,100.0,44.0,300,adjusted
CHI,Channel Islands,High income,Europe & Central Asia,36.389,47.306,1.3,income_group_multiplier,100.0,9.1,300,adjusted
CHL,Chile,High income,Latin America & Caribbean,70.267,91.347,1.3,income_group_multiplier,100.0,57.5,300,adjusted
CHN,China,Upper middle income,East Asia & Pacific,65.511,73.372,1.12,income_group_multiplier,100.0,50.7,300,adjusted
COL,Colombia,Upper middle income,Latin America & Caribbean,72.944,81.698,1.12,income_group_multiplier,100.0,61.3,300,adjusted
COM,Comoros,Lower middle income,Sub-Saharan Africa,60.411,55.578,0.92,income_group_multiplier,100.0,43.4,300,adjusted
COD,"Congo, Democratic Republic of",Low income,Sub-Saharan Africa,63.478,49.513,0.78,income_group_multiplier,100.0,47.8,300,adjusted
COG,"Congo, Republic of",Lower middle income,Sub-Saharan Africa,64.511,59.35,0.92,income_group_multiplier,100.0,49.3,300,adjusted
CRI,Costa Rica,High income,Latin America & Caribbean,70.211,91.274,1.3,income_group_multiplier,100.0,57.4,300,adjusted
CIV,Côte d'Ivoire,Lower middle income,Sub-Saharan Africa,66.544,61.221,0.92,income_group_multiplier,100.0,52.2,300,adjusted
HRV,Croatia,High income,Europe & Central Asia,66.589,86.566,1.3,income_group_multiplier,100.0,52.3,300,adjusted
CUB,Cuba,Upper middle income,Latin America & Caribbean,60.222,67.449,1.12,income_group_multiplier,100.0,43.2,300,adjusted
CUW,Curaçao,High income,Latin America & Caribbean,37.678,48.981,1.3,income_group_multiplier,100.0,11.0,300,adjusted
CYP,Cyprus,High income,Europe & Central Asia,65.744,85.468,1.3,income_group_multiplier,100.0,51.1,300,adjusted
CZE,Czechia,High income,Europe & Central Asia,68.356,88.862,1.3,income_group_multiplier,100.0,54.8,300,adjusted
DNK,Denmark,High income,Europe & Central Asia,68.244,88.718,1.3,income_group_multiplier,100.0,54.6,300,adjusted
DJI,Djibouti,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",57.389,52.798,0.92,income_group_multiplier,100.0,39.1,300,adjusted
DMA,Dominica,Upper middle income,Latin America & Caribbean,56.644,63.442,1.12,income_group_multiplier,100.0,38.1,300,adjusted
DOM,Dominican Republic,Upper middle income,Latin America & Caribbean,70.544,79.01,1.12,income_group_multiplier,100.0,57.9,300,adjusted
ECU,Ecuador,Upper middle income,Latin America & Caribbean,71.556,80.142,1.12,income_group_multiplier,100.0,59.4,300,adjusted
SLV,El Salvador,Upper middle income,Latin America & Caribbean,70.922,79.433,1.12,income_group_multiplier,100.0,58.5,300,adjusted
GNQ,Equatorial Guinea,Upper middle income,Sub-Saharan Africa,57.589,64.5,1.12,income_group_multiplier,100.0,39.4,300,adjusted
ERI,Eritrea,Low income,Sub-Saharan Africa,54.356,42.397,0.78,income_group_multiplier,100.0,34.8,300,adjusted
EST,Estonia,High income,Europe & Central Asia,66.033,85.843,1.3,income_group_multiplier,100.0,51.5,300,adjusted
SWZ,Eswatini,Lower middle income,Sub-Saharan Africa,65.567,60.321,0.92,income_group_multiplier,100.0,50.8,300,adjusted
